#Chr	New	Old
chr1	chr1_mat_hsa1	chr1
chr2	chr2_mat_hsa3	chr3
chr3	chr3_mat_hsa4	chr4
chr4	chr4_mat_hsa17x5	chr5
chr4	chr4_mat_hsa17x5	chr17
chr5	chr5_pat_hsa6	chr6
chr6	chr6_pat_hsa7	chr7
chr7	chr7_mat_hsa8	chr8
chr8	chr8_mat_hsa10	chr10
chr9	chr9_mat_hsa11	chr11
chr10	chr10_pat_hsa12	chr12
chr11	chr11_pat_hsa2b	chr2B
chr12	chr12_mat_hsa2a	chr2A
chr13	chr13_mat_hsa9	chr9
chr14	chr14_mat_hsa13	chr13
chr15	chr15_mat_hsa14	chr14
chr16	chr16_mat_hsa15	chr15
chr17	chr17_pat_hsa18	chr18
chr18	chr18_mat_hsa16	chr16
chr19	chr19_mat_hsa5x17	chr5
chr19	chr19_mat_hsa5x17	chr17
chr20	chr20_pat_hsa19	chr19
chr21	chr21_mat_hsa20	chr20
chr22	chr22_pat_hsa21	chr21
chr23	chr23_pat_hsa22	chr22
chr3	chr3_mat_hsa4_random_utig4-1031	chr4
chr3	chr3_mat_hsa4_random_utig4-1486	chr4
chr3	chr3_mat_hsa4_random_utig4-1487	chr4
chr3	chr3_mat_hsa4_random_utig4-1749	chr4
chr3	chr3_mat_hsa4_random_utig4-1755	chr4
chr3	chr3_mat_hsa4_random_utig4-1779	chr4
chr3	chr3_mat_hsa4_random_utig4-1783	chr4
chr3	chr3_mat_hsa4_random_utig4-2068	chr4
chr3	chr3_mat_hsa4_random_utig4-2071	chr4
chr3	chr3_mat_hsa4_random_utig4-2100	chr4
chr3	chr3_mat_hsa4_random_utig4-2102	chr4
chr3	chr3_mat_hsa4_random_utig4-2103	chr4
chr3	chr3_mat_hsa4_random_utig4-2215	chr4
chr3	chr3_mat_hsa4_random_utig4-2220	chr4
chr3	chr3_mat_hsa4_random_utig4-2309	chr4
chr3	chr3_mat_hsa4_random_utig4-2312	chr4
chr3	chr3_mat_hsa4_random_utig4-2313	chr4
chr3	chr3_mat_hsa4_random_utig4-2314	chr4
chr3	chr3_mat_hsa4_random_utig4-2325	chr4
chr3	chr3_mat_hsa4_random_utig4-2326	chr4
chr3	chr3_mat_hsa4_random_utig4-2463	chr4
chr3	chr3_mat_hsa4_random_utig4-2717	chr4
chr3	chr3_mat_hsa4_random_utig4-2823	chr4
chr3	chr3_mat_hsa4_random_utig4-2825	chr4
chr3	chr3_mat_hsa4_random_utig4-2906	chr4
chr3	chr3_mat_hsa4_random_utig4-2983	chr4
chr3	chr3_mat_hsa4_random_utig4-2984	chr4
chr3	chr3_mat_hsa4_random_utig4-32	chr4
chr3	chr3_mat_hsa4_random_utig4-33	chr4
chr3	chr3_mat_hsa4_random_utig4-34	chr4
chr3	chr3_mat_hsa4_random_utig4-35	chr4
chr3	chr3_mat_hsa4_random_utig4-36	chr4
